date,LU0345759590,LU1035775359,LU0082770016,LU0149726845,IE00B2R34X65,IE00B889SK00,LU0219443438,LU0219496394,LU0571063014,TW000T3743D3
2019-01-08,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2019-01-15,0.06624611191194768,0.06705770995485287,0.06626725916865622,0.06655017195028952,0.15142071052706907,0.1446515145590081,0.06630225476522682,0.06631867060190479,0.15255251887706586,0.1526330776839792
2019-01-22,0.06378436699925397,0.06086349729324336,0.06382543069789402,0.06420154693979985,0.15476011958389518,0.1548545039178999,0.06387699717021293,0.0638787772386201,0.15473766333629715,0.15521709682288354
2019-01-29,0.06340910497734019,0.05758746059019869,0.06380611422846713,0.06431236611649889,0.15519639899210247,0.15740076659971763,0.06412900970588484,0.06325208418979131,0.1552722091010714,0.15563448549892753
2019-02-05,0.0687133135786686,0.05463643676323647,0.06116872947649201,0.06060559749995319,0.1556806919828786,0.16007047724730486,0.06328784079684614,0.063276532727429,0.15608712138543349,0.15647325854175761
2019-02-10,0.1123746511010239,0.05076649721978679,0.05586869811028342,0.055599337680481614,0.15177665269967522,0.1519437129595288,0.059037875488789304,0.059035466245759866,0.15168836231312835,0.1519087461815427
2019-02-15,0.08614383214585504,0.06391868234181655,0.05377933083460126,0.05396301228948237,0.15470470999132602,0.1548223502051841,0.06314988977777734,0.06000873514956325,0.15469953799580738,0.15480991926858667
2019-02-22,0.12748681303940035,0.05840487072787834,0.048649414516536156,0.04878632299317351,0.1498296431215601,0.1502170345067732,0.058422809048321554,0.05811773521400476,0.14998184157055058,0.15010351526180132
2019-03-01,0.13557132887765214,0.05460408983129818,0.04892437586299631,0.04884960519563518,0.14657765597273736,0.1508258408914321,0.058710230687703216,0.0568563150831346,0.14820709000511953,0.1508734675922914
2019-03-08,0.1285510135351989,0.059661696367907295,0.049863870666075887,0.04982023681885436,0.1529674226720838,0.14334326927205057,0.04974147090106774,0.05964525345236093,0.15303416807354792,0.15337159824085259
2019-03-13,0.10113777107440637,0.05858079233134084,0.053123248310986165,0.05394718979290589,0.16187795084171405,0.1310687145907597,0.053197901660102784,0.06304584999096274,0.1619390577924488,0.16208152361437253
2019-03-20,0.06393985181737906,0.05410549942978263,0.05957526716786255,0.0643817910925222,0.16399247486018062,0.1480169576196946,0.05451004666596036,0.06413764615270087,0.16304582353585337,0.16429464165806384
2019-03-27,0.0638342940566518,0.053261289339322976,0.06317056103378425,0.06345355955471645,0.1618335715752251,0.15287901215884442,0.05328628359451162,0.06313344846328565,0.16232002405859228,0.1628279561650655
2019-04-03,0.08264918865971366,0.05357220273998187,0.061835797035036916,0.06183224011772786,0.1590301752687,0.14933025350682244,0.05189639458489477,0.06175224629936428,0.15885766109710184,0.15924384069065634
2019-04-08,0.1107229792659904,0.055746452462388074,0.05962727751619803,0.060127575309486744,0.1509642552541373,0.14679024467066837,0.05390284670669399,0.05862020749900032,0.15151008698631835,0.15198807432911848
2019-04-15,0.08105208625835596,0.05447910274988246,0.05446695876783388,0.055049809129277136,0.1566274287326071,0.15905411742541056,0.06214911112982117,0.06081924729058461,0.15723303087937215,0.159069107636855
2019-04-22,0.08675579739920657,0.05202433851644225,0.06205050585206948,0.06241572068380032,0.15745642305275992,0.14982271659347418,0.0520299091199424,0.06089621841705757,0.15749084251433756,0.15905752785090976
2019-04-29,0.08317608572639325,0.0540617897247495,0.06425641490491274,0.06446844228637283,0.15530187205767876,0.15540383464444238,0.05404999883011371,0.05860753532547502,0.15524599528503072,0.15542803121483112
2019-05-04,0.07328809414188275,0.054607951113931824,0.06489180127003472,0.06502537851088012,0.15636581560002605,0.15791716940263334,0.054722829365524125,0.05900904438596639,0.1564943320069319,0.15767758420218883
2019-05-10,0.07208869097102016,0.05480068850568659,0.05634266115114681,0.06436954990871277,0.15558232524672758,0.16484770466055285,0.061482458875192714,0.05871337223501475,0.15623830488803947,0.15553424355790632
2019-05-15,0.06538103712348772,0.06512275605476253,0.055000341730374706,0.05622278794602668,0.15669886785695186,0.16777251673141594,0.06524438188695823,0.055021500592050916,0.15612771403248718,0.15740809604548428
2019-05-22,0.059081837483764235,0.06501188684928198,0.06288402817870478,0.055295053942250885,0.15717187618584327,0.16746656853407807,0.06520295084730211,0.05496195524250319,0.15553594818943398,0.1573878945468375
